Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Kim, Ji-Eun; Mangal, Utkarsh; Yu, Jae-Hun; Kim, Gi-Tae; Kim, Hoon; Seo, Ji-Young; Cha, Jung-Yul; Lee, Kee-Joon; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Evaluation of the effects of temperature and centrifugation time on elimination of uncured resin from 3D-printed dental aligners,Scientific reports,14,1,15206,2024,Nature Publishing Group UK London
"Bae, Jun‐Hyeong; Mangal, Utkarsh; Yu, Jae‐Hun; Cha, Jung‐Yul; Yu, Hyung‐Seog; Lee, Kee‐Joon; Choi, Sung‐Hwan; ",Retention efficacy and patient experience with customized clear retainer and wrap‐around circumferential retainer among non‐extraction orthodontic patients: A 12‐month follow‐up cohort study,Orthodontics & Craniofacial Research,27,6,928-937,2024,
"Wu, Chengzan; Mangal, Utkarsh; Seo, Ji-Young; Kim, Hoon; Bai, Na; Cha, Jung-Yul; Lee, Kee-Joon; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Enhancing biofilm resistance and preserving optical translucency of 3D printed clear aligners through carboxybetaine-copolymer surface treatment,Dental Materials,40,10,1575-1583,2024,Elsevier
"Kim, Ji-Hoi; Yu, Jae-Hun; Mangal, Utkarsh; Liu, Jing; Jung, Hyo-Jung; Cha, Jung-Yul; ","Author Correction: Evaluation of dental plaque reduction using microcurrent-emitting toothbrushes in orthodontic patients: a randomized, double-blind, crossover clinical trial",Scientific reports,14,,18398,2024,
"Ryu, Jeong‐Hyun; Mangal, Utkarsh; Kwon, Jae‐Sung; Seo, Ji‐Young; Byun, Sung‐Yun; Lee, Young‐Hee; Jang, Sungil; Hwang, Geelsu; Ku, Hyemin; Shin, Yooseok; ",Integrating phosphate enhances biomineralization effect of methacrylate cement in vital pulp treatment with improved human dental pulp stem cells stimulation,Advanced Healthcare Materials,13,31,2402397,2024,
"Mangal, Utkarsh; Jinn, Hyeonseok; Jo, Heon; Choi, Sung-Hwan; ",Non-Surgical Correction of Collapsed Posterior Occlusion in a Unilateral Cleft Lip and Palate Patient with Multiple Missing Teeth: A Case Report,Journal of Korean Dental Science,17,3,151-162,2024,
"Choi, Woojin; Mangal, Utkarsh; Yu, Jae-Hun; Ryu, Jeong-Hyun; Kim, Ji‑Yeong; Jun, Taesuk; Lee, Yoojin; Cho, Heesu; Choi, Moonhyun; Lee, Milae; ",Viscoelastic and antimicrobial dental care bioplastic with recyclable life cycle,Nature communications,15,1,9205,2024,Nature Publishing Group UK London
"Wu, Chengzan; Mangal, Utkarsh; Bai, Na; Kim, Hoon; Hwang, Geelsu; Cha, Jung-Yul; Lee, Kee-Joon; Kwon, Jae-Sung; Choi, Sung-Hwan; ",Effects of printing layer thickness and build orientation on the mechanical properties and color stability of 3D-printed clear aligners,The Angle Orthodontist,95,4,355-361,2025,Edward H. Angle Society of Orthodontists
"Mangal, U; Choi, W; Kwon, JS; Cha, JK; Hong, J; Choi, SH; ",Symbiotically Integrating Occlusive Membrane for Guided Regeneration of Inflammatory-Challenged Complex Tissue Defects,Dental Materials,41,,e1-e2,2025,Elsevier
"Shetty, Shravan; Trimbakrao, Phad Sharad; Mangal, Utkarsh; Patil, Suraj; Khader, Shah Mohammed Abdul; Ashith, MV; Shenoy, Satish; ",Evaluation of miniscrew-assisted maxillary expansion in the treatment of unilateral maxillary constriction: A finite element study,Journal of Orthodontic Science,14,1,10,2025,Medknow
"Kim, JE; Mangal, U; Kwon, JS; Choi, SH; ",Efficiency of Uncured Monomer Removal from Clear Aligners in Accordance with Centrifugation Time and Remperature During 3D-printing Post-Processing,Dental Materials,41,,e100-e101,2025,Elsevier
"Mangal, U; Wu, C; Choi, SH; ",Carboxybetaine-copolymer post-treatment of 3D printed clear aligners imparts biofilm resistance with good optical translucency,Dental Materials,41,,e55-e56,2025,Elsevier
"Choi, Woojin; Mangal, Utkarsh; Park, Hanbi; Lee, Milae; Tran, Ngoc Quyen; Lee, Kee-Joon; Le Thi, Phuong; Kimm, Hyungsuk; Choi, Sung-Hwan; Hong, Jinkee; ",Biodegradation of β-Sheet Crystal-Rich Silk Fibroin Bioplastic Promoted by Functionally Active Soil Microbiome,ACS ES&T Engineering,,,,2025,American Chemical Society
"Kim, Min-Ji; Kim, EunJu; Mangal, Utkarsh; Seo, Ji-Young; Cha, Jung-Yul; Lee, Kee-Joon; Choi, Yoon Jeong; Kwon, Jae-Sung; Yu, Hyung-Seog; Choi, Sung-Hwan; ",Biofilm-resistant zwitterionic resin-based adhesive for orthodontic bracket-tooth interfaces: an in vitro evaluation,Clinical Oral Investigations,29,10,478,2025,Springer Berlin Heidelberg Berlin/Heidelberg
"Seo, K; Moon, J; Bhat, R; Mangal, U; Choi, S-H; Kwon, J-S; ",Cationic Polymer for Aligner and Oral Biofilm Removal via Osmotic Mechanism,Journal of Dental Research,,,00220345251368263,,"SAGE Publications Sage CA: Los Angeles, CA"
